ID,Date,Team,Acquired,Relinquished,Notes
0,25/12/1951,Bullets,, Don Barksdale,placed on IL
1,26/12/1952,Knicks,, Max Zaslofsky,placed on IL with torn side muscle
2,29/12/1956,Knicks,, Jim Baechtold,placed on inactive list
3,16/01/1959,Lakers,, Elgin Baylor,player refused to play after being denied a room in team's hotel
4,26/11/1961,Lakers,, Elgin Baylor,player reported for military duty
5,24/03/1962,Lakers, Elgin Baylor,,player given 2-day pass from military duty
6,31/03/1962,Lakers, Elgin Baylor,,player given weekend pass from military duty
7,25/10/1962,Zephyrs,, Al Ferrari,placed on disabled list
8,06/11/1962,Zephyrs, Al Ferrari,,activated from disabled list
9,14/11/1962,Zephyrs,, Al Ferrari,placed on disabled list with knee injury
10,11/09/1965,Pistons,, Terry Dischinger,service in army (date approximate)
11,15/10/1969,Bucks,, Bob Greacen,placed on IL with sprained ankle
12,28/10/1969,Bucks, Bob Greacen,,activated from IL
13,03/12/1969,Bucks,, John Arthurs,deployed to National Guard for remainder of the season
14,24/01/1970,Bucks,, Guy Rodgers,placed on IL with torn leg muscle
15,15/09/1971,Colonels (ABA),, Jim Welch / Poo Welch,placed on IL
16,30/10/1971,Squires (ABA), Doug Moe,,"""activated"""
17,08/11/1971,Chaparrals (ABA), Eugene Kennedy / Gene Kennedy / Goo Kennedy,,"""activated"""
18,10/10/1972,Cavaliers,, Bobby Washington,placed on IL
19,04/11/1972,Cavaliers,, Rick Roberson,placed on IL with pulled hamstring
20,10/11/1972,Tams (ABA),, Merv Jackson,placed on IL
21,11/11/1972,Tams (ABA),, Randy Denton,placed on IL
22,28/11/1972,Tams (ABA), Merv Jackson,,activated from IL
23,16/12/1972,Tams (ABA), Randy Denton,,activated from IL
24,24/02/1973,Kings,, John Green (a) / Johnny Green,placed on IL
25,24/02/1973,Kings, Frank Schade,,activated from IL
26,19/03/1973,Bulls, Tom Boerwinkle,,activated from IL
27,07/11/1973,Rockets, George Johnson (E.),,"""activated"""
28,17/11/1973,Kings,, Mike D'Antoni,placed on IL with fractured right hand
29,20/12/1973,Kings, Mike D'Antoni,,activated from IL
30,22/12/1973,Knicks, Earl Monroe,,"""activated"""
31,31/01/1974,Nets (ABA), Jim O'Brien (M.),,"""activated"""
32,27/03/1974,Bucks,, Lucius Allen,placed on IL with torn cartilage in knee (out for season)
33,27/03/1974,Bucks, Dick Cunningham,,activated from IL
34,16/10/1974,Bucks,, Kareem Abdul-Jabbar / Lew Alcindor,placed on IL with fractured right hand and lacerated left eye
35,16/10/1974,Bucks, Dick Cunningham,,activated from IL
36,17/10/1974,Spirits (ABA), Gilbert McGregor / Gil McGregor,,"""activated"""
37,28/10/1974,Bucks,, Dick Cunningham,placed on IL
38,28/10/1974,Knicks,, Melvin Davis / Mel Davis,placed on IL with shoulder injury
39,28/10/1974,Knicks, Howard Porter,,activated from IL
40,05/11/1974,Colonels (ABA), John Roche,,activated from IR
41,07/11/1974,Spirits (ABA),, Bernie Fryer,placed on IL with torn thigh muscle
42,14/11/1974,Knicks, Melvin Davis / Mel Davis,,"""restored to active list"""
43,21/11/1974,Colonels (ABA),, Ted McClain,placed on IR with torn calf muscle
44,05/12/1974,Hawks,, Lou Hudson,placed on IL with right elbow inflammation
45,23/01/1975,Spirits (ABA),, Mike Barr,placed on IL with viral illness
46,25/02/1975,Stars (ABA), Henry Wilmore,,"""reactivated"""
47,07/03/1975,Celtics, Phil Hankinson,,"""activated"""
48,20/10/1975,Braves,, Tom McMillen,placed on IL with bruised right heel
49,22/10/1975,76ers,, LeRoy Ellis,placed on IL
50,22/10/1975,Knicks,, Larry Fogle,placed on IL
51,22/10/1975,Pistons,, Terry Thomas,placed on IL
52,11/11/1975,Braves, Tom McMillen,,activated from IL
53,24/11/1975,Knicks, Larry Fogle,,activated from IL
54,17/01/1976,Jazz,, Ron Behagen,placed on IL with hairline fracture below left eye (date approximate)
55,16/02/1976,Jazz, Ron Behagen,,activated from IL
56,28/02/1976,Nuggets (ABA), George Irvine,,"""reactivated"""
57,20/10/1976,76ers,, Clyde Lee,placed on IL
58,20/10/1976,76ers,, Mel Bennett,placed on IL
59,20/10/1976,Bucks,, Lloyd Walton,placed on IL
60,20/10/1976,Cavaliers,, Chuck Williams / Chuckie Williams (Leon),placed on IL
61,20/10/1976,Cavaliers,, Luke Witte,placed on IL
62,20/10/1976,Hawks,, Geoff Petrie,placed on IL
63,20/10/1976,Knicks,, Alfred Beard / Butch Beard,placed on IL
64,20/10/1976,Knicks,, Jim Barnett,placed on IL
65,20/10/1976,Pistons,, John Mengelt,placed on IL
66,20/10/1976,Sonics,, Dean Tolson,placed on IL
67,20/10/1976,Warriors,, Dwight Davis,placed on IL
68,01/11/1976,Lakers,, Stu Lantz,placed on IL (date approximate)
69,10/11/1976,Bucks,, Kevin Restani,placed on IL
70,11/12/1976,Bucks, Kevin Restani,,activated from IL
71,15/12/1976,Bulls,, Jack Marin,placed on IL recovering from surgery to remove benign tumor in groin area
72,12/01/1977,Bulls,, Keith Starr,placed on IL (date approximate)
73,12/01/1977,Jazz,, Gail Goodrich,placed on IL with Achilles tendon injury
74,02/02/1977,Bulls,, Leon Benbow,placed on IL
75,30/09/1977,Celtics,, Steve Kuberski,placed on IL
76,17/10/1977,76ers,, Wilson Washington,placed on IL
77,17/10/1977,Lakers,, Kenny Carr,placed on IL
78,17/10/1977,Sonics,, Dean Tolson,placed on IL
79,17/10/1977,Suns,, Ira Terrell,placed on IL
